DisplayName,AppId,ServicePrincipalType,AccountEnabled,PublisherName,Homepage
Microsoft Dataverse Connector,e128b731-e872-575b-a0fa-30554b80437f,Application,True,,
OCaaS Client Interaction Service,3e044285-00ad-56c6-98b6-a46faf5a86d5,Application,True,,
Microsoft 365 Admin portal,d175be8e-cd1a-570f-bf7c-9502e98a5059,Application,True,,
Azure AD Notification,d2cb3b2e-5f17-5813-8c9b-18be6a22a2ec,Application,True,,
Request Approvals Read Platform,d8645806-eb15-5e1d-bc50-2b33f1c969fe,Application,True,,
M365 Admin Services,92d7966a-779b-5794-9665-eba4340c7f08,Application,True,,
Office 365 Exchange Online,e4a5da3d-2793-517f-9a1c-79424353ab74,Application,True,,
Skype for Business Online,8eca3bab-4906-518d-aaef-158120e2d06e,Application,True,,
PowerPlatform-a365outlookmailmcp-Connector,3d912683-45dd-5559-818c-33e0a7af1054,Application,True,,
IDS-PROD,beebe22c-7a1d-5777-a136-e8bf954cb4dd,Application,True,,
Microsoft Teams - Teams And Channels Service,9e508639-75ba-53c5-9d49-b5bf6b10c63a,Application,True,,
AAD Request Verification Service - PROD,31651bf0-e0eb-5e1b-8038-169dd2bf0710,Application,True,,
Microsoft AppSource,496ff8b3-6116-53fa-9c8c-376c5c7fdf7b,Application,True,,
MS Teams Griffin Assistant,f452a936-1066-58c4-a8d2-263630f10569,Application,True,,
Azure Multi-Factor Auth Client,2b4f9e00-ab83-5d0a-845c-f9f4422e5a53,Application,True,,
Sway,c4160658-3026-5fe8-941c-341b1b199a07,Application,True,,
Defender for IoT,50a3467a-c08d-5b68-866b-1793bfc11c32,Application,True,,
ProjectWorkManagement,9d45f39c-7f81-584a-b127-7ff29c6342a2,Application,True,,
Microsoft Intune,072632bb-b382-5822-8e85-5dee9df7df9c,Application,True,,
MIP Exchange Solutions - ODB,53a1e57f-ca7d-5620-8104-c28baf094262,Application,True,,
Power Platform Connector Management Service - PROD,60d7494f-64de-5cf6-be4d-fc65958aa08a,Application,True,,
Azure AD Application Proxy,841d9fdc-7ea6-50f9-8e4c-9379d2f54735,Application,True,,
Power BI Service,6976b82e-50c1-5045-b47d-d5f07f3241e9,Application,True,,
Device Registration Service,c06412e0-eac1-5a77-9cca-bbb4d4f87438,Application,True,,
Universal Print,4149229f-4fe4-51e9-b97e-bcd712f0302b,Application,True,,
Microsoft Defender Hunting,1694e717-5e28-50bb-aa95-c134a348a758,Application,True,,
People Profile Event Proxy,5548ca19-19ae-5045-99ef-06d9ec7c6576,Application,True,,
CommComplianceApp,c4d95686-5210-5e1e-ac46-98de58ef4b79,Application,True,,
WindowsUpdate-Service,0d989eef-6070-5d02-ad65-0e34dd76d177,Application,True,,
Microsoft Intune Service Discovery,737757ba-deb5-5a0d-b09e-870ef1981114,Application,True,,
SalesInsightsWebApp,cc958d39-c8e0-52b9-b423-c5c6e6998df0,Application,True,,
Azure Purview,45696177-02c6-54da-af66-4f1e9b390c0c,Application,True,,
Power Apps Service Customer Management Plane Backend,0a856aab-1f13-5489-b7f9-68f5ecacc5bc,Application,True,,
Skype Presence Service,9ea457a9-82c1-5140-b622-8671be70c17f,Application,True,,
MicrosoftEndpointDLP,a3a69a36-8631-5c0a-9626-6b04ef4022a4,Application,True,,
Microsoft SaaS Hub Resource Provider,b044561e-5c5e-5941-83e7-adfbef44651a,Application,True,,
Office 365 Configure,0691f227-1d37-5293-be59-48cffbc96e50,Application,True,,
Azure Virtual Desktop ARM Provider,678e60ce-567e-555f-bf79-c81333a19eb1,Application,True,,
Microsoft Windows AutoPilot Service API,df9d6ef4-f7cc-5646-9815-df7c1a284d2f,Application,True,,
Windows Update for Business Deployment Service,dbfba520-e68b-53e5-960e-ac4a00df3dd8,Application,True,,
Microsoft Cloud App Security,bfc9736f-7d02-5896-89f5-2376b335cb24,Application,True,,
Teams Admin Monitoring Alerting Platform,eabe1deb-17a4-5897-95d2-cecb8c3f1119,Application,True,,
Substrate Instant Revocation Pipeline,422dfd55-8d92-5869-8f5f-1f653cc7c033,Application,True,,
Microsoft Graph Change Tracking,818ebf5b-e3c2-5e15-bd6a-05d6815de34c,Application,True,,
M365AdminAgent,49312a09-e71d-5662-b97b-d492023b4503,Application,True,,
Teams NRT DLP Service,9d849d26-e993-57da-9261-fefca06666ec,Application,True,,
My Profile,93025cab-a371-5e68-ac13-273bbfb051ed,Application,True,,
Microsoft Azure AD Identity Protection,22447fdf-aae4-5a88-b0fd-10278c3c1326,Application,True,,
Portfolios,f1360fbb-1379-5110-a7cf-56eeef6b763e,Application,True,,
O365 LinkedIn Connection,d17bd13e-1f1e-55cd-9e27-19a433f6e66a,SocialIdp,True,,
Microsoft Flow CDS Integration Service,fabdf3ce-4bf8-5cfb-9fe2-5fe4ad71d1ee,Application,True,,
Microsoft Teams User Profile Search Service,35479e70-f743-5356-8f23-c955dc640e4c,Application,True,,
